header,new_header,Qnum,curr.aban,ben.bur,factor,keyword
Q2.1 - What is your gender?,gender,Q2.1 ,,,,
Q2.2 - Where are you from?,from,Q2.2 ,,,,
Q2.3 - What is your age?,age,Q2.3 ,,,,
Q2.4 - What is your highest education level (completed or in progress)?,educ,Q2.4 ,,,,
Q2.5 - What kind of mobile device do you use?,device,Q2.5 ,,,,
Q2.6 - Approximately how much time do you spend interacting with your phone each d...,usage,Q2.6 ,,,,
"Q3.1 - Apps you currently use:
In the space below, list 5 apps that you have used...",current_list,Q3.1 ,,,,
Q3.2 - Please indicate below the 5th app that you listed (from the above question)...,current,Q3.2 ,,,,
Q3.3_1 - I use [QID11-ChoiceTextEntryValue] because it helps me feel connected to ot...,curr.ben.social.1,Q3.3_1 ,current,benefit,social,connect
Q3.3_2 - I use [QID11-ChoiceTextEntryValue] to see what my friends and family are up...,curr.ben.social.2,Q3.3_2 ,current,benefit,social,friends
Q3.3_3 - I use [QID11-ChoiceTextEntryValue] to make/coordinate plans more effectivel...,curr.ben.use.1,Q3.3_3 ,current,benefit,use,plans
Q3.3_4 - [QID11-ChoiceTextEntryValue] allows me to communicate with other people.,curr.ben.social.3,Q3.3_4 ,current,benefit,social,comm
Q3.3_5 - I enjoy using [QID11-ChoiceTextEntryValue].,curr.ben.enjoy.1,Q3.3_5 ,current,benefit,enjoy,use
Q3.3_6 - I am excited to use [QID11-ChoiceTextEntryValue] when I have free time.,curr.ben.enjoy.2,Q3.3_6 ,current,benefit,enjoy,excited
"Q3.3_7 - If I have nothing better to do, I'll use [QID11-ChoiceTextEntryValue].",curr.ben.enjoy.3,Q3.3_7 ,current,benefit,enjoy,bored
Q3.3_8 - I like [QID11-ChoiceTextEntryValue] because it has an appealing interface.,curr.ben.usable.1,Q3.3_8 ,current,benefit,usable,interface
Q3.3_9 - The design of [QID11-ChoiceTextEntryValue]  is intuitive.,curr.ben.usable.2,Q3.3_9 ,current,benefit,usable,intuitive
Q3.3_10 - I use [QID11-ChoiceTextEntryValue] to accomplish a task that would otherwis...,curr.ben.use.2,Q3.3_10 ,current,benefit,use,task
Q3.3_11 - [QID11-ChoiceTextEntryValue] helps me with logistics and planning.,curr.ben.use.3,Q3.3_11 ,current,benefit,use,logistics
Q3.3_12 - [QID11-ChoiceTextEntryValue] helps me get through the day more efficiently.,curr.ben.use.4,Q3.3_12 ,current,benefit,use,efficient
Q3.3_13 - [QID11-ChoiceTextEntryValue] gives me timely information.,curr.ben.use.5,Q3.3_13 ,current,benefit,use,timely
Q3.3_14 - [QID11-ChoiceTextEntryValue] gives me relevant information.,curr.ben.use.6,Q3.3_14 ,current,benefit,use,relevant
